Source,recipe_name,Target,ingredient_en,Type,book,chapter,section,ingredient_type
B01C001S01,conditum_paradoxum,piper,pepper,Undirected,1,1,1,Spices
B01C001S01,conditum_paradoxum,mastiche,mastich,Undirected,1,1,1,Spices
B01C001S01,conditum_paradoxum,crocus,saffron,Undirected,1,1,1,Spices
B01C001S01,conditum_paradoxum,folium,aromatic leaf,Undirected,1,1,1,Spices
B01C001S01,conditum_paradoxum,mel,honey,Undirected,1,1,1,Additive
B01C001S01,conditum_paradoxum,vinum,wine,Undirected,1,1,1,Alcoholic Beverages
B01C001S01,conditum_paradoxum,palmula,dates,Undirected,1,1,1,Fruit
B01C001S02,conditum_melizomum_uiatorium,piper,pepper,Undirected,1,1,2,Spices
B01C001S02,conditum_melizomum_uiatorium,mel,honey,Undirected,1,1,2,Additive
B01C001S02,conditum_melizomum_uiatorium,vinum,wine,Undirected,1,1,2,Alcoholic Beverages
B01C002S01,apsinthium_romanum,mastiche,mastich,Undirected,1,2,1,Spices
B01C002S01,apsinthium_romanum,costum,costmary,Undirected,1,2,1,Plants
B01C002S01,apsinthium_romanum,crocus,saffron,Undirected,1,2,1,Spices
B01C002S01,apsinthium_romanum,folium,aromatic leaf,Undirected,1,2,1,Spices
B01C002S01,apsinthium_romanum,vinum,wine,Undirected,1,2,1,Alcoholic Beverages
B01C002S01,apsinthium_romanum,apsinthium,absinthe,Undirected,1,2,1,Herbs
B01C003S01,rosatum_et_uiolatium,folia_rosae,rose petals,Undirected,1,3,1,Flowers
B01C003S01,rosatum_et_uiolatium,mel,honey,Undirected,1,3,1,Additive
B01C003S01,rosatum_et_uiolatium,viola,violet,Undirected,1,3,1,Flowers
B01C003S01,rosatum_et_uiolatium,vinum,wine,Undirected,1,3,1,Alcoholic Beverages
B01C003S02,rosatum_sine_rosa,folia_citri,citron leaves,Undirected,1,3,2,Herbs
B01C003S02,rosatum_sine_rosa,mel,honey,Undirected,1,3,2,Additive
B01C003S02,rosatum_sine_rosa,mustum,must / grape must (mustum),Undirected,1,3,2,Additive
B01C004S01,oleum_liburnicum,cyperus,cyperus,Undirected,1,4,1,Spices
B01C004S01,oleum_liburnicum,folium_lauri,bay/laurel leaves,Undirected,1,4,1,Herbs
B01C004S01,oleum_liburnicum,helenium,elecampane,Undirected,1,4,1,Herbs
B01C004S01,oleum_liburnicum,oleum,oil,Undirected,1,4,1,Plants
B01C004S01,oleum_liburnicum,sal,salt,Undirected,1,4,1,Additive
B01C005S01,vinum_ex_atro_candidum_facies,vinum,wine,Undirected,1,5,1,Alcoholic Beverages
B01C005S01,vinum_ex_atro_candidum_facies,ovum,eggs,Undirected,1,5,1,Dairy
B01C005S01,vinum_ex_atro_candidum_facies,faba,bean,Undirected,1,5,1,Legumes
B01C006S01,deliquamine_emendando,liquamen,liquamen,Undirected,1,6,1,Additive
B01C006S01,deliquamine_emendando,mel,honey,Undirected,1,6,1,Additive
B01C006S01,deliquamine_emendando,mustum,must / grape must (mustum),Undirected,1,6,1,Additive
B01C007S01,vt_carnes_sine_sale_quovis_tempore_recen,caro,meat (caro),Undirected,1,7,1,Meat
B01C007S01,vt_carnes_sine_sale_quovis_tempore_recen,mel,honey,Undirected,1,7,1,Additive
B01C007S02,callum_porcinum_vel_bubulum_et_unguellae,caro,meat (caro),Undirected,1,7,2,Meat
B01C007S02,callum_porcinum_vel_bubulum_et_unguellae,sinapis,mustard,Undirected,1,7,2,Spices
B01C007S02,callum_porcinum_vel_bubulum_et_unguellae,acetum,vinegar,Undirected,1,7,2,Additive
B01C007S02,callum_porcinum_vel_bubulum_et_unguellae,sal,salt,Undirected,1,7,2,Additive
B01C007S02,callum_porcinum_vel_bubulum_et_unguellae,mel,honey,Undirected,1,7,2,Additive
B01C008S01,vt_carnem_salsam_dulcem_facias,caro,meat (caro),Undirected,1,8,1,Meat
B01C008S01,vt_carnem_salsam_dulcem_facias,sal,salt,Undirected,1,8,1,Additive
B01C008S01,vt_carnem_salsam_dulcem_facias,lac,milk,Undirected,1,8,1,Dairy
B01C009S01,vt_pisces_fricti_diu_durent,acetum,vinegar,Undirected,1,9,1,Additive
B01C009S01,vt_pisces_fricti_diu_durent,piscis,fish,Undirected,1,9,1,Fish
B01C009S02,ostrea_ut_diu_durent,acetum,vinegar,Undirected,1,9,2,Additive
B01C009S02,ostrea_ut_diu_durent,ostrea,oysters,Undirected,1,9,2,Seafood
B01C010S01,vt_uncia_laseris_toto_tempore_utaris,laser,laser,Undirected,1,10,1,Spices
B01C010S01,vt_uncia_laseris_toto_tempore_utaris,nucleus,pine nuts,Undirected,1,10,1,Nuts & Seeds
B01C011S01,vt_dulcia_de_melle_diu_durent,cnecus,safflower (cnecus),Undirected,1,11,1,Spices
B01C011S01,vt_dulcia_de_melle_diu_durent,mel,honey,Undirected,1,11,1,Additive
B01C011S01,vt_dulcia_de_melle_diu_durent,farina,flour,Undirected,1,11,1,Cereals
B01C011S02,vt_mel_malum_bonum_facias,mel,honey,Undirected,1,11,2,Additive
B01C011S03,mel_corruptum_ut_probes,helenium,elecampane,Undirected,1,11,3,Herbs
B01C011S03,mel_corruptum_ut_probes,mel,honey,Undirected,1,11,3,Additive
B01C012S01,Vvae ut diu serventur,uva,grapes,Undirected,1,12,1,Fruit
B01C012S01,Vvae ut diu serventur,hordeum,barley,Undirected,1,12,1,Cereals
B01C012S02,vt_mala_et_mala_granata_diu_durent,granatum,pomegranate,Undirected,1,12,2,Fruit
B01C012S03,vt_mala_cydonia_diu_serventur,cotoneum,quince,Undirected,1,12,3,Fruit
B01C012S03,vt_mala_cydonia_diu_serventur,mel,honey,Undirected,1,12,3,Additive
B01C012S03,vt_mala_cydonia_diu_serventur,defritum,defritum,Undirected,1,12,3,Additive
B01C012S04,"ficum_recentem,_mala,_pruna,_pira,_ceras",mel,honey,Undirected,1,12,4,Additive
B01C012S04,"ficum_recentem,_mala,_pruna,_pira,_ceras",malum,apple,Undirected,1,12,4,Fruit
B01C012S04,"ficum_recentem,_mala,_pruna,_pira,_ceras",pirum,pear,Undirected,1,12,4,Fruit
B01C012S04,"ficum_recentem,_mala,_pruna,_pira,_ceras",ficus,fig,Undirected,1,12,4,Fruit
B01C012S05,citria_ut_diu_durent,citrum,citron,Undirected,1,12,5,Fruit
B01C012S06,mora_ut_diu_durent,morum,mulberry,Undirected,1,12,6,Fruit
B01C012S06,mora_ut_diu_durent,defritum,defritum,Undirected,1,12,6,Additive
B01C012S06,mora_ut_diu_durent,holus,vegetables,Undirected,1,12,7,Vegetables
B01C012S07,holera_ut_diu_serventur,holus,vegetables,Undirected,1,12,7,Vegetables
B01C012S08,rapae_ut_diu_serventur,acetum,vinegar,Undirected,1,12,8,Additive
B01C012S08,rapae_ut_diu_serventur,mel,honey,Undirected,1,12,8,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,sinapis,mustard,Undirected,1,12,9,Spices
B01C012S09,rapae_ut_diu_serventur_aliter_1,acetum,vinegar,Undirected,1,12,9,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,sal,salt,Undirected,1,12,9,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,mel,honey,Undirected,1,12,9,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,rapa,turnips,Undirected,1,12,9,Vegetables
B01C012S10,tubera_ut_diu_serventur,tubera,truffles,Undirected,1,12,10,Fungi
