Id,ingredient_en,ingredient_type,comments,ancient_source
acetum,vinegar,Additive,,
agnus,lamb,Meat,,
alica,spelt_/_emmer_wheat,Cereals,,
allium,garlic,Vegetables,,
allec,fish_paste,Additive,fermented fish paste; by-product of liquamen production,"Pliny, Nat. Hist. 31.44; Apicius passim"
amulum,roux,Cereals,,
amygdala,almonds,Nuts_&_Seeds,,
anas,duck,Meat,,
anethum,dill,Herbs,,
anguilla,eel,Fish,,
anser,goose,Meat,,
aper,wild_boar,Meat,,
apium,celery_(celery_seed),Spices,leaf and seed both used; primary use as herb,"Apicius passim; Pliny, Nat. Hist. 19.46; Dioscorides, Mat. Med. 3.64"
apsinthium,absinthe,Herbs,,
asaron,wild_ginger,Spices,,
asparagus,asparagus,Vegetables,,
aurata,bream,Fish,,
bacae_lauri,laurel_berry,Spices,berries of the bay laurel tree,"Pliny, Nat. Hist. 15.39; Dioscorides, Mat. Med. 1.78; Apicius passim"
bacae_myrti,myrtle_berry,Fruit,,
beta,beet,Vegetables,,
boletus,mushroom_,Fungi,,
bulbus,bulb,Vegetables,,
callum,rind,Meat,,
locusta,lobster_crawfish,Seafood,,
capona,capon,Meat,,
capparis,caper,Plants,,
capra,goat,Meat,,
cardamomum,cardamon,Spices,,
carduus,cardoon,Vegetables,,
carum,caraway,Spices,,
cariota,date,Fruit,,
assaturae,roast_meat,Meat,general term for roasted meat preparations,"Apicius, De Re Coq. Book 8 (Tetrapus)"
caroenum,caroenum,Additive,grape must reduced by boiling to one-third,"Apicius passim; Columella, De Re Rust. 12.19; Pliny, Nat. Hist. 14.80"
carota,carrot,Vegetables,,
caseus,cheese,Dairy,,
castanea,chestnut,Nuts_&_Seeds,,
cepa,onion,Vegetables,,
cerebrum,brain,Meat,,
cervus,venison_,Meat,,
cicer,chickpea,Legumes,,
citrum,citron,Fruit,,
crocus,saffron,Spices,,
coagulum,coagulant,Additive,,
cochlea,snails,Meat,,
colocasia,colocasia_,Plants,,
columba,pigeon_dove,Meat,pigeon and dove used interchangeably in recipes,"Columella, De Re Rust. 8.8"
conditum,spiced_wine,Alcoholic_Beverages,"wine flavoured with honey, pepper, and spices","Apicius, De Re Coq. 1.1; Pliny, Nat. Hist. 14.107"
coriandrum,coriander,Herbs,,
costum,costmary,Plants,,
cotoneum,quince,Fruit,,
crocus,saffron,Spices,,
cucumis,cucumber,Vegetables,,
cucurbita,gourd,Vegetables,,
cuminum,cumin,Spices,,
cyperus,cyperus,Spices,,
defritum,defritum,Additive,grape must reduced by half; similar to caroenum,"Apicius passim; Columella, De Re Rust. 12.19; Pliny, Nat. Hist. 14.80"
dentex,dentex_fish,Fish,,
echinus,sea_urchin,Seafood,,
eruca,rocket,Plants,,
faba,bean,Legumes,,
faenum_graecum,fenugreek,Spices,,
farina,flour,Cereals,,
foeniculum,fennel,Herbs,,
ficedula,fig_pecker,Meat,,
ficus,fig,Fruit,,
flores_foeniculi,fennel_blossom,Flowers,,
flores_malvae,mallow_flower,Flowers,,
rosa,rose,Flowers,,
folia_cauliculorum,cabbage,Vegetables,,
folia_lactucae,lettuce_leaves,Vegetables,,
folia_malvae,mallow_leaves,Vegetables,,
folium,aromatic_leaf,Spices,"aromatic leaf, possibly nard or cassia leaf","Apicius passim; Pliny, Nat. Hist. 12.59; Dioscorides, Mat. Med. 1.12"
folia_citri,citron_leaves,Herbs,,
folium_lauri,bay/laurel_leaves,Herbs,,
folia_nardi,spikenard_leaves,Herbs,,
folia_rosae,rose_petals,Flowers,,
fungi,mushrooms,Fungi,,
gallina,hen,Meat,,
gigeria,gizzard,Meat,,
glis,dormouse,Meat,,
granatum,pomegranate,Fruit,,
grus,crane,Meat,,
haedus,kid,Meat,,
helenium,elecampane,Herbs,,
herbae,herbs,Herbs,,
holus,vegetables,Vegetables,,
hordeum,barley,Cereals,,
iecur,liver,Meat,,
isicium,isicium,Meat,minced or ground meat mixture; Roman forcemeat,"Apicius, De Re Coq. 2.1, 4.3, 7.4"
juniperus,juniper_berries,Spices,,
lac,milk,Dairy,,
lactuca,lettuce,Vegetables,,
lardum,bacon/fat,Meat,,
laser,laser,Spices,resin or juice from silphium or ferula plant,"Pliny, Nat. Hist. 19.15; Apicius passim; Dioscorides, Mat. Med. 3.80"
lenticula,lentils,Legumes,,
lepus,hare,Meat,,
ligusticum,lovage,Herbs,,
liquamen,liquamen,Additive,fermented fish sauce; Roman equivalent of garum,"Apicius passim; Pliny, Nat. Hist. 31.43–44; Geoponica 20.46"
locusta,lobster,Seafood,,
lolligo,squid,Seafood,,
lucanica,lucanian_sausage,Meat,,
malabathrum,malabathrum,Spices,,
malum,apple,Fruit,,
malva,mallows,Vegetables,,
mastiche,mastich,Spices,,
mel,honey,Additive,"used as sweetener, preservative, and in sauces","Apicius passim; Pliny, Nat. Hist. 11.12–16; Virgil, Georgics 4; Columella, De Re Rust. 9"
menta,mint,Herbs,,
merum,pure_wine,Alcoholic_Beverages,,
mitulus,mussels,Seafood,,
morum,mulberry,Fruit,,
mugil,mullet,Fish,,
mullus,red_mullet,Fish,,
mulsum,honied_wine,Alcoholic_Beverages,,
muraena,moray_eel,Fish,,
muria,brine,Additive,salt brine; also used as a fish-brine condiment,"Pliny, Nat. Hist. 31.44; Apicius passim"
mustei,must_cakes,Bakery,,
nasturtium,cress,Herbs,,
nepeta,catnip,Herbs,,
nitrum,soda,Additive,,
nuces_pineae,pine_nuts,Nuts_&_Seeds,,
nux,wallnuts,Nuts_&_Seeds,,
ocimum,basil,Herbs,,
oenogarum,oenogarum,Additive,,
oleum,oil,Plants,,
oliva,olives,Fruit,,
omentum,caul,Meat,caul fat membrane used to wrap and cook meats,"Apicius, De Re Coq. 2.2, 7.1; Pliny, Nat. Hist. 11.82"
origanum,oregano,Herbs,,
oryza,rice,Cereals,,
ostrea,oysters,Seafood,,
ovis,mutton,Meat,,
ovum,eggs,Dairy,,
oxygarum,oxygarum,Additive,condiment of vinegar mixed with garum,"Apicius passim; Galen, De Alimentorum Facultatibus"
palmula,dates,Fruit,,
panis,bread,Bakery,,
passum,raisin_wine,Alcoholic_Beverages,,
pastinaca,parsnip,Vegetables,,
perdix,partridge,Meat,,
perna,ham,Meat,,
persica,peach,Fruit,,
petroselinum,parsley,Herbs,,
phasianus,pheasant,Meat,,
phoenicopterus,flamingo,Meat,,
piper,pepper,Spices,,
pirum,pear,Fruit,,
