Id,Label,recipe_count,NodeType
additive,additive,415,IngredientType
spices,spices,388,IngredientType
plants,plants,303,IngredientType
herbs,herbs,293,IngredientType
alchohol,alchohol,198,IngredientType
meat,meat,184,IngredientType
vegetables,vegetables,176,IngredientType
fruit,fruit,109,IngredientType
dairy,dairy,95,IngredientType
cereals,cereals,84,IngredientType
nuts,nuts,69,IngredientType
fish,fish,55,IngredientType
seafood,seafood,32,IngredientType
legumes,legumes,29,IngredientType
fungi,fungi,14,IngredientType
flowers,flowers,4,IngredientType
bakery,bakery,4,IngredientType
